nohup: ignoring input
--------------------------------------------------
正在加载模型 medium.en (TEDLIUM 全量推理模式)...
模型加载完成。
--------------------------------------------------
正在加载参考文本: /opt/Audio_Datasets/TEDLIUM_WAV/text.txt
已加载 2582 条参考文本。
开始遍历音频文件: /opt/Audio_Datasets/TEDLIUM_WAV
File: 000466.wav | WER: 0.2857 | Dist: 6 | RefWords: 21
File: 000446.wav | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 000421.wav | WER: 0.0345 | Dist: 1 | RefWords: 29
File: 000439.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000438.wav | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000430.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000465.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000402.wav | WER: 0.3077 | Dist: 4 | RefWords: 13
File: 000428.wav | WER: 0.0500 | Dist: 1 | RefWords: 20
File: 000442.wav | WER: 0.1951 | Dist: 8 | RefWords: 41
File: 000476.wav | WER: 0.2000 | Dist: 5 | RefWords: 25
File: 000474.wav | WER: 0.0000 | Dist: 0 | RefWords: 26
File: 000496.wav | WER: 0.0333 | Dist: 1 | RefWords: 30
File: 000409.wav | WER: 0.0000 | Dist: 0 | RefWords: 11
File: 000433.wav | WER: 0.2308 | Dist: 3 | RefWords: 13
File: 000440.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000463.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000454.wav | WER: 0.0667 | Dist: 1 | RefWords: 15
File: 000424.wav | WER: 0.0000 | Dist: 0 | RefWords: 26
File: 000459.wav | WER: 0.1053 | Dist: 2 | RefWords: 19
File: 000485.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000538.wav | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 000516.wav | WER: 0.2857 | Dist: 4 | RefWords: 14
File: 000596.wav | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 000522.wav | WER: 0.1429 | Dist: 2 | RefWords: 14
File: 000504.wav | WER: 0.0455 | Dist: 1 | RefWords: 22
File: 000575.wav | WER: 0.1379 | Dist: 4 | RefWords: 29
File: 000587.wav | WER: 0.0323 | Dist: 1 | RefWords: 31
File: 000519.wav | WER: 0.1000 | Dist: 3 | RefWords: 30
File: 000566.wav | WER: 0.1034 | Dist: 3 | RefWords: 29
File: 000581.wav | WER: 0.2857 | Dist: 2 | RefWords: 7
File: 000539.wav | WER: 0.0000 | Dist: 0 | RefWords: 15
File: 000515.wav | WER: 0.4444 | Dist: 4 | RefWords: 9
File: 000529.wav | WER: 0.1000 | Dist: 2 | RefWords: 20
File: 000572.wav | WER: 0.1818 | Dist: 4 | RefWords: 22
File: 000506.wav | WER: 0.0000 | Dist: 0 | RefWords: 30
File: 000540.wav | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 000559.wav | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 000500.wav | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 000561.wav | WER: 0.5000 | Dist: 1 | RefWords: 2
File: 000558.wav | WER: 0.2222 | Dist: 2 | RefWords: 9
File: 000521.wav | WER: 0.2500 | Dist: 1 | RefWords: 4
File: 000537.wav | WER: 0.0000 | Dist: 0 | RefWords: 18
File: 000541.wav | WER: 0.3333 | Dist: 1 | RefWords: 3
File: 000545.wav | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 000569.wav | WER: 0.2105 | Dist: 8 | RefWords: 38
File: 000594.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000588.wav | WER: 0.1739 | Dist: 4 | RefWords: 23
File: 000523.wav | WER: 0.1667 | Dist: 3 | RefWords: 18
File: 000585.wav | WER: 0.0952 | Dist: 2 | RefWords: 21
File: 000548.wav | WER: 0.2105 | Dist: 4 | RefWords: 19
File: 000579.wav | WER: 0.2727 | Dist: 6 | RefWords: 22
File: 000577.wav | WER: 0.1667 | Dist: 2 | RefWords: 12
File: 000524.wav | WER: 0.0000 | Dist: 0 | RefWords: 23
File: 000507.wav | WER: 0.0588 | Dist: 1 | RefWords: 17
File: 000533.wav | WER: 0.0870 | Dist: 2 | RefWords: 23
File: 000535.wav | WER: 0.0476 | Dist: 1 | RefWords: 21
File: 000502.wav | WER: 0.0000 | Dist: 0 | RefWords: 16
File: 000542.wav | WER: 0.0000 | Dist: 0 | RefWords: 25
File: 000592.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000520.wav | WER: 0.1053 | Dist: 2 | RefWords: 19
File: 000574.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000564.wav | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000513.wav | WER: 0.1250 | Dist: 1 | RefWords: 8
File: 000576.wav | WER: 0.2500 | Dist: 1 | RefWords: 4
File: 000570.wav | WER: 0.0833 | Dist: 2 | RefWords: 24
File: 000527.wav | WER: 0.0000 | Dist: 0 | RefWords: 1
File: 000551.wav | WER: 0.1053 | Dist: 2 | RefWords: 19
File: 000555.wav | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000511.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000567.wav | WER: 0.1905 | Dist: 4 | RefWords: 21
File: 000532.wav | WER: 0.1500 | Dist: 6 | RefWords: 40
File: 000550.wav | WER: 0.3333 | Dist: 5 | RefWords: 15
File: 000557.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000549.wav | WER: 0.1739 | Dist: 8 | RefWords: 46
File: 000563.wav | WER: 0.0588 | Dist: 1 | RefWords: 17
File: 000528.wav | WER: 0.0000 | Dist: 0 | RefWords: 12
File: 000503.wav | WER: 0.1667 | Dist: 4 | RefWords: 24
File: 000562.wav | WER: 0.1481 | Dist: 4 | RefWords: 27
